Tipo,Producto,Fecha de inicio,Fecha de finalización,Descripción,Importe,Comisión,Divisa,State,SaSldo
Pago con tarjeta,Actual,2025-09-30 08:49:22,2025-10-01 03:37:51,Siemens Getafe,-1.10,0.00,EUR,COMPLETADO,423.74
Pago con tarjeta,Actual,2025-09-30 13:36:34,2025-10-01 03:37:53,Siemens Getafe,-2.20,0.00,EUR,COMPLETADO,421.54
Cambio,Actual,2025-10-01 13:18:51,2025-10-01 13:18:51,Transfer to Revolut Digital Assets Europe Ltd,-1.80,0.00,EUR,COMPLETADO,419.74
Cambio,Actual,2025-10-01 18:52:49,2025-10-01 18:52:49,Transfer to Revolut Digital Assets Europe Ltd,-2.00,0.00,EUR,COMPLETADO,417.74
Pago con tarjeta,Actual,2025-10-01 13:18:50,2025-10-02 03:46:33,Siemens Getafe,-1.10,0.00,EUR,COMPLETADO,416.64
Pago con tarjeta,Actual,2025-10-01 18:52:48,2025-10-02 06:25:32,Petroprix,-54.12,0.00,EUR,COMPLETADO,362.52
Cambio,Actual,2025-10-02 08:51:27,2025-10-02 08:51:27,Transfer to Revolut Digital Assets Europe Ltd,-1.80,0.00,EUR,COMPLETADO,360.72
Pago con tarjeta,Actual,2025-10-02 08:51:26,2025-10-03 03:44:42,Siemens Getafe,-1.10,0.00,EUR,COMPLETADO,359.62
Cambio,Actual,2025-10-03 08:49:24,2025-10-03 08:49:24,Transfer to Revolut Digital Assets Europe Ltd,-1.80,0.00,EUR,COMPLETADO,357.82
Transferir,Actual,2025-10-03 17:12:39,2025-10-03 17:12:40,Transferencia a un cliente de Revolut,-50.00,0.00,EUR,COMPLETADO,307.82
Cambio,Actual,2025-10-03 22:34:36,2025-10-03 22:34:36,Transfer to Revolut Digital Assets Europe Ltd,-1.76,0.00,EUR,COMPLETADO,306.06
Pago con tarjeta,Actual,2025-10-03 08:49:23,2025-10-04 03:53:53,Siemens Getafe,-1.10,0.00,EUR,COMPLETADO,304.96
Pago con tarjeta,Actual,2025-10-03 22:34:36,2025-10-04 16:31:26,Cursor,-17.12,0.00,EUR,COMPLETADO,287.84
Cambio,Actual,2025-10-05 22:35:27,2025-10-05 22:35:28,Transfer to Revolut Digital Assets Europe Ltd,-0.62,0.00,EUR,COMPLETADO,287.22
Cambio,Actual,2025-10-06 08:47:29,2025-10-06 08:47:29,Transfer to Revolut Digital Assets Europe Ltd,-1.80,0.00,EUR,COMPLETADO,285.42
Pago con tarjeta,Actual,2025-10-05 22:35:27,2025-10-06 11:40:20,Notino,-29.69,0.00,EUR,COMPLETADO,255.73
Cambio,Actual,2025-10-06 13:17:39,2025-10-06 13:17:39,Transfer to Revolut Digital Assets Europe Ltd,-1.80,0.00,EUR,COMPLETADO,253.93
Pago con tarjeta,Actual,2025-10-06 08:47:29,2025-10-07 04:50:29,Siemens Getafe,-1.10,0.00,EUR,COMPLETADO,252.83
Pago con tarjeta,Actual,2025-10-06 13:17:38,2025-10-07 04:50:30,Siemens Getafe,-1.10,0.00,EUR,COMPLETADO,251.73
Cambio,Actual,2025-10-07 08:41:41,2025-10-07 08:41:41,Transfer to Revolut Digital Assets Europe Ltd,-1.80,0.00,EUR,COMPLETADO,249.93
