Tipo,Producto,Fecha de inicio,Fecha de finalización,Descripción,Importe,Comisión,Divisa,State,Saldo
Pago con tarjeta,Actual,2025-12-28 12:23:17,2026-01-01 09:24:11,VIA-T,-12.55,0.00,EUR,COMPLETADO,124.50
Recargas,Actual,2026-01-02 10:20:51,2026-01-02 10:20:53,Una recarga de Apple Pay con *8082,100.00,0.00,EUR,COMPLETADO,224.50
Cambio,Actual,2026-01-02 11:40:42,2026-01-02 11:40:42,Transfer to Revolut Digital Assets Europe Ltd,-0.12,0.00,EUR,COMPLETADO,224.38
Pago con tarjeta,Actual,2026-01-02 11:40:41,2026-01-03 09:38:57,Amazon,-147.97,0.00,EUR,COMPLETADO,76.41
Cambio,Actual,2026-01-03 21:34:54,2026-01-03 21:34:54,Transfer to Revolut Digital Assets Europe Ltd,-3.44,0.00,EUR,COMPLETADO,72.97
Cambio,Actual,2026-01-03 21:43:10,2026-01-03 21:43:10,Transfer to Revolut Digital Assets Europe Ltd,-1.64,0.00,EUR,COMPLETADO,71.33
Cambio,Actual,2026-01-04 06:13:57,2026-01-04 06:13:57,Transfer to Revolut Digital Assets Europe Ltd,-1.60,0.00,EUR,COMPLETADO,69.73
Reembolso de tarjeta,Actual,2026-01-02 19:35:35,2026-01-04 09:53:28,Singularu,19.99,0.00,EUR,COMPLETADO,89.72
Pago con tarjeta,Actual,2026-01-04 06:13:56,2026-01-04 14:45:28,EasyPark,-0.60,0.00,EUR,COMPLETADO,89.12
Pago con tarjeta,Actual,2026-01-03 21:34:54,2026-01-04 15:52:28,Cursor,-17.14,0.17,EUR,COMPLETADO,71.81
Cambio,Actual,2026-01-05 20:32:16,2026-01-05 20:32:16,Transfer to Revolut Digital Assets Europe Ltd,-4.00,0.00,EUR,COMPLETADO,67.81
Cambio,Actual,2026-01-05 20:36:09,2026-01-05 20:36:09,Transfer to Revolut Digital Assets Europe Ltd,-4.00,0.00,EUR,COMPLETADO,63.81
Pago con tarjeta,Actual,2026-01-03 21:43:10,2026-01-06 09:27:00,Amazon,-5.59,0.00,EUR,COMPLETADO,58.22
Pago con tarjeta,Actual,2026-01-05 20:36:09,2026-01-06 14:59:07,Kinepolis,-9.00,0.00,EUR,COMPLETADO,49.22
Pago con tarjeta,Actual,2026-01-05 20:32:15,2026-01-06 15:56:34,Vip District,-2.00,0.00,EUR,COMPLETADO,47.22
Cambio,Actual,2026-01-06 20:26:45,2026-01-06 20:26:45,Transfer to Revolut Digital Assets Europe Ltd,-3.20,0.00,EUR,COMPLETADO,44.02
Cambio,Actual,2026-01-06 20:39:22,2026-01-06 20:39:22,Transfer to Revolut Digital Assets Europe Ltd,-1.80,0.00,EUR,COMPLETADO,42.22
Pago con tarjeta,Actual,2026-01-06 20:39:21,2026-01-07 03:38:42,Kinepolis,-3.55,0.00,EUR,COMPLETADO,38.67
Pago con tarjeta,Actual,2026-01-06 20:26:45,2026-01-07 09:39:42,Burger King,-24.20,0.00,EUR,COMPLETADO,14.47
Recargas,Actual,2026-01-07 13:39:09,2026-01-07 13:39:11,Una recarga de Apple Pay con *8082,300.00,0.00,EUR,COMPLETADO,314.47
Pago con tarjeta,Actual,2026-01-07 13:41:31,,Jysk Dbl Iberia S.l.u.,-165.00,0.00,EUR,REVERTED,
Cambio,Actual,2026-01-07 13:41:31,2026-01-07 13:41:31,Transfer to Revolut Digital Assets Europe Ltd,-4.00,0.00,EUR,COMPLETADO,310.47
Cambio,Actual,2026-01-07 15:48:46,2026-01-07 15:48:46,Transfer to Revolut Digital Assets Europe Ltd,-0.04,0.00,EUR,COMPLETADO,310.43
Cambio,Actual,2026-01-07 17:56:24,2026-01-07 17:56:24,Transfer to Revolut Digital Assets Europe Ltd,-0.16,0.00,EUR,COMPLETADO,310.27
Cambio,Actual,2026-01-07 19:25:38,2026-01-07 19:25:38,Transfer to Revolut Digital Assets Europe Ltd,-1.92,0.00,EUR,COMPLETADO,308.35
Cambio,Actual,2026-01-07 20:22:27,2026-01-07 20:22:27,Transfer to Revolut Digital Assets Europe Ltd,-0.16,0.00,EUR,COMPLETADO,308.19
Pago con tarjeta,Actual,2026-01-07 15:48:45,2026-01-08 09:32:54,Amazon,-11.99,0.00,EUR,COMPLETADO,296.20
